a1,d,item,question,group,id
1.43577714873917,-2.29022794628495,gę gę,,mowa,gę gę
2.46596246038659,-0.981824444497326,hau hau,,mowa,hau hau
2.40603118229948,-1.64471218051014,ko ko ko,,mowa,ko ko ko
2.52320975045781,-2.61471898293536,kwa kwa,,mowa,kwa kwa
2.50534057131798,-1.33983552642536,miau,,mowa,miau
1.9586774604808,-1.93749873505133,mee/bee,,mowa,mee/bee
2.72022726702099,-1.57239452877053,muu [krowa],,mowa,muu [krowa]
2.40031925404876,-3.26031834946565,pi pi pi/ćwir ćwir,,mowa,pi pi pi/ćwir ćwir
2.12102968565638,-1.44262742435643,bam/bum/bęc,,mowa,bam/bum/bęc
2.08669546803891,-0.728316782595678,brrum brrum [auto],,mowa,brrum brrum [auto]
2.26979112690049,-3.0770248072729,tik tak,,mowa,tik tak
1.58357850280014,-1.6036843086294,tralala/lalala,,mowa,tralala/lalala
2.71780021556057,-5.56394943888461,baran,,mowa,baran
3.40350788469303,-7.14688406795002,biedronka,,mowa,biedronka
3.67127713516369,-7.44552784174399,bocian,,mowa,bocian
2.87386296774006,-6.01113261757504,gęś,,mowa,gęś
3.57567133691513,-7.44899045862191,jeż,,mowa,jeż
3.09023513166385,-4.57237117584757,kaczka,,mowa,kaczka
2.97689943727589,-5.27417132121285,kogut,,mowa,kogut
3.29231277944562,-4.67917156502594,koń,,mowa,koń
3.30307635548689,-3.32547247313172,kot,,mowa,kot
3.25268483407017,-6.20095818345849,koza,,mowa,koza
2.98849805441911,-4.08376421143467,krowa,,mowa,krowa
3.31441051397602,-6.28294868932177,królik,,mowa,królik
3.05977602510244,-4.32093254603446,kura,,mowa,kura
3.16445635459294,-5.84242464131112,lew,,mowa,lew
4.9308811439664,-9.60503582666943,lis,,mowa,lis
3.08944070058839,-6.01491036777403,małpa,,mowa,małpa
4.69542762575889,-7.05878778288722,miś/niedźwiedź,,mowa,miś/niedźwiedź
4.04316242978149,-6.75188801891481,mucha,,mowa,mucha
4.19157205487802,-7.19747197367763,myszka,,mowa,myszka
2.70183606212405,-2.91547840643017,pies,,mowa,pies
5.58140684912767,-11.4097898947342,pingwin,,mowa,pingwin
3.35299850184089,-5.60815357385986,ptaszek,,mowa,ptaszek
7.31043133006056,-13.5213034380151,robak,,mowa,robak
4.36399444600109,-7.40153141963674,ryba,,mowa,ryba
4.29449834319328,-7.92670561899129,słoń,,mowa,słoń
3.45173003043588,-6.59230722931582,sowa,,mowa,sowa
6.45839688684995,-12.958951125481,ślimak,,mowa,ślimak
3.48949459659506,-5.99172764804906,świnka,,mowa,świnka
3.3105565386835,-7.10829779383697,tygrys,,mowa,tygrys
4.88575519960112,-10.3997262607595,wiewiórka,,mowa,wiewiórka
3.57508006329995,-7.72137205208352,wilk,,mowa,wilk
4.59337836055581,-9.25964449738971,zając,,mowa,zając
3.93369908602509,-6.68639996861053,żaba,,mowa,żaba
6.57331165409368,-13.051429706339,żółw,,mowa,żółw
6.01491876251729,-12.3945684400165,żyrafa,,mowa,żyrafa
2.77444699623973,-2.58517841527225,auto/samochód,,mowa,auto/samochód 
2.91497004330516,-5.7599008402376,autobus,,mowa,autobus
2.93585364500466,-5.48260935069857,motor/motocykl,,mowa,motor/motocykl
2.89194714490627,-5.27458510477372,pociąg,,mowa,pociąg
3.89582203518515,-7.10502372997199,rower,,mowa,rower
4.20721377332366,-7.50522576406346,samolot,,mowa,samolot 
4.472578984409,-9.2026014164356,statek,,mowa,statek
2.9440435713843,-4.92300884937019,traktor,,mowa,traktor
3.67083492126312,-8.20591916084873,tramwaj,,mowa,tramwaj
3.72203863158609,-5.93714268351152,banan,,mowa,banan
5.59723929266225,-11.4374322009587,budyń,,mowa,budyń
4.39842956501407,-6.82137890388994,bułka,,mowa,bułka
4.13695432536185,-6.90093801419418,chleb,,mowa,chleb
5.02623399948336,-8.18197027230705,chrupki,,mowa,chrupki
5.71294949457502,-8.80439894343083,ciastko,,mowa,ciastko 
4.98384417469942,-10.1204584038795,cukier,,mowa,cukier
4.80097231376225,-8.42220438063664,cukierek,,mowa,cukierek
4.96152101353469,-8.86304956152737,czekolada,,mowa,czekolada
3.83434739861237,-8.54645774480405,dżem,,mowa,dżem 
4.09523294916113,-7.38270262460257,herbata,,mowa,herbata
5.47824790151873,-8.70520733849867,jabłko,,mowa,jabłko
4.42776053357058,-6.07063147144665,jajko,,mowa,jajko
1.93750952149459,-1.54362472509572,jedzenie/papu/am,,mowa,jedzenie/papu/am
4.41367934764747,-8.14184128844328,jogurt,,mowa,jogurt
3.82275559506209,-6.73017216797406,kaszka,,mowa,kaszka
3.91168729178822,-7.02990505410898,kawa,,mowa,kawa
5.05254322338558,-9.73590671164815,kiełbasa,,mowa,kiełbasa
5.53217682312261,-10.57638012537,makaron/kluski,,mowa,makaron/kluski
5.60704847924202,-11.1727066372649,masło/margaryna,,mowa,masło/margaryna 
4.82863791632921,-9.20436970745267,mięso,,mowa,mięso
4.0218890572874,-6.08390635990031,mleko,,mowa,mleko
